A proteção contra CSRF é vital para impedir que atacantes realizem _____ em nome do usuário.,Ações não autorizadas.
"O gerenciamento de sessão envolve a criação, manutenção e _____ da sessão do usuário.",Destruição (ou encerramento)
Por que o sequestro de sessão é perigoso?,Permite que o atacante assuma a identidade digital do usuário sem saber sua senha.
A sigla MD5 refere-se a um tipo de algoritmo de _____.,Hash.
O atributo SameSite é configurado no cabeçalho HTTP de resposta chamado _____.,Set-Cookie.
"Em segurança web, um 'token' é frequentemente um sinônimo para um _____.",Identificador de sessão.
O ataque de colisão é uma prova de que uma função hash não é mais _____.,Segura (ou criptograficamente forte).
A 'Falsificação de solicitação entre sites' é comumente abreviada como _____.,CSRF.
Geradores de números aleatórios são essenciais para criar chaves e tokens que sejam _____.,Imprevisíveis.
O gerenciamento inseguro de sessões é uma falha que permite que atacantes ignorem o processo de _____.,Autenticação.
"Se uma função hash produz o mesmo resultado para 'Entrada A' e 'Entrada B', ocorreu uma _____.",Colisão.
